各教育程度別無工作經驗者每月平均經常性薪資(平均薪資)(單位：元),,,,,,,,,,,,,,,,,,,,,,,,
,總平均,,,,國中及以下,,,,高中或高職,,,,專科,,,,大學,,,,研究所及以上,,,
　　專業人員,"32,936 ","32,474 ","33,027 ","32,833 ",－,－,－,－,－,－,－,－,"29,297 ","28,523 ","28,442 ","28,048 ","32,830 ","32,282 ","32,486 ","32,157 ","36,233 ","36,765 ","37,766 ","37,856 "
　　技術員及助理專業人員,"29,474 ","28,978 ","30,350 ","30,140 ",－,－,－,－,"24,629 ","24,458 ","24,263 ","24,139 ","27,977 ","26,973 ","27,343 ","27,403 ","30,478 ","29,899 ","31,024 ","30,631 ","32,969 ","34,590 ","36,712 ","36,156 "
　　事務工作人員,"28,104 ","27,825 ","28,409 ","29,131 ","20,881 ","20,380 ","21,262 ","22,605 ","23,727 ","23,914 ","23,364 ","24,029 ","26,926 ","26,422 ","26,532 ","26,932 ","29,385 ","29,059 ","29,476 ","30,122 ","31,856 ","34,560 ","35,001 ","35,413 "
　　服務工作人員及售貨員,"27,945 ","27,205 ","25,537 ","25,935 ","20,528 ","20,979 ","19,626 ","22,665 ","24,697 ","24,818 ","23,666 ","24,261 ","27,553 ","26,369 ","25,648 ","25,874 ","29,728 ","28,882 ","29,046 ","28,097 ","31,787 ","32,932 ",－,－
　　技術工及機械設備操作工,"27,851 ","27,185 ","26,357 ","27,268 ","23,385 ","23,496 ","22,875 ","23,981 ","26,531 ","25,590 ","24,721 ","25,863 ","28,296 ","27,113 ","26,520 ","27,400 ","29,233 ","28,793 ","29,645 ","30,406 ","31,291 ","32,117 ",－,－
　　非技術工及體力工,"21,444 ","21,394 ","20,753 ","21,315 ","20,681 ","19,769 ","19,738 ","19,545 ","21,994 ","22,390 ","21,402 ","22,337 ",－,－,－,－,－,－,－,－,－,－,－,－
醫療保健服務業,"25,566 ","26,782 ","25,222 ","26,309 ","19,634 ","19,917 ","19,685 ","20,366 ","21,957 ","22,505 ","21,189 ","21,888 ","25,644 ","26,557 ","24,859 ","25,912 ","28,000 ","29,873 ","28,552 ","29,190 ","29,691 ","33,643 ","33,074 ","34,518 "
　　專業人員,"32,315 ","35,124 ","32,326 ","33,290 ",－,－,－,－,－,－,－,－,"29,046 ","30,274 ","27,875 ","29,112 ","32,658 ","35,795 ","33,622 ","34,001 ","35,200 ","40,881 ","37,606 ","38,748 "
　　技術員及助理專業人員,"27,779 ","28,677 ","26,465 ","28,079 ",－,－,－,－,"23,666 ","24,299 ","22,433 ","23,600 ","26,969 ","27,314 ","25,388 ","26,780 ","29,147 ","30,118 ","28,191 ","29,497 ","30,584 ","34,353 ","31,465 ","33,456 "
　　事務工作人員,"23,459 ","24,244 ","22,857 ","23,624 ","18,791 ","19,090 ","18,992 ","19,681 ","21,108 ","21,529 ","20,000 ","20,751 ","23,156 ","23,827 ","22,142 ","22,946 ","25,283 ","26,068 ","25,027 ","25,165 ","26,840 ","30,248 ","28,736 ","29,845 "
　　服務工作人員及售貨員,"21,807 ","23,233 ","21,963 ","22,668 ","19,287 ","19,813 ","20,116 ","20,683 ","20,751 ","21,834 ","20,952 ","21,652 ","22,114 ","23,603 ","22,728 ","23,377 ","23,073 ","25,040 ","24,590 ","24,972 ","24,089 ","27,430 ",－,－
　　技術工及機械設備操作工,"24,685 ","25,365 ","23,620 ","24,899 ","21,385 ","21,513 ","20,996 ","22,251 ","24,098 ","23,959 ","22,853 ","23,519 ","25,082 ","25,955 ","24,717 ","25,736 ","25,821 ","27,508 ","26,060 ","27,873 ","27,021 ","29,064 ",－,－
　　非技術工及體力工,"19,691 ","20,125 ","19,509 ","19,640 ","19,200 ","19,435 ","18,797 ","19,040 ","20,141 ","20,785 ","20,062 ","20,073 ",－,－,－,－,－,－,－,－,－,－,－,－
文化、運動及休閒服務業,"23,226 ","23,396 ","22,839 ","22,756 ","18,536 ","18,357 ","18,610 ","18,689 ","20,774 ","20,542 ","20,191 ","20,135 ","23,528 ","23,469 ","22,885 ","22,943 ","25,438 ","25,795 ","25,569 ","25,105 ","26,590 ","28,092 ","29,463 ","28,491 "
　　專業人員,"27,971 ","28,187 ","28,042 ","27,276 ",－,－,－,－,－,－,－,－,"26,045 ","25,965 ","25,537 ","25,302 ","28,161 ","28,588 ","28,247 ","27,732 ","29,740 ","30,949 ","32,033 ","30,084 "
　　技術員及助理專業人員,"24,913 ","24,778 ","24,292 ","24,318 ",－,－,－,－,"22,149 ","21,640 ","21,253 ","21,291 ","24,346 ","24,207 ","23,633 ","23,812 ","26,166 ","26,350 ","26,152 ","25,670 ","27,178 ","28,592 ","29,097 ","28,290 "
　　事務工作人員,"22,348 ","22,459 ","22,089 ","22,069 ","18,092 ","17,823 ","18,154 ","18,543 ","20,286 ","19,908 ","19,607 ","20,063 ","22,163 ","22,301 ","21,893 ","21,783 ","24,385 ","24,626 ","24,488 ","23,850 ","25,429 ","27,214 ","27,167 ","26,965 "
　　服務工作人員及售貨員,"20,964 ","21,128 ","19,742 ","19,957 ","18,328 ","17,953 ","17,859 ","18,481 ","19,876 ","19,745 ","19,067 ","19,014 ","21,373 ","21,172 ","20,364 ","20,639 ","22,629 ","23,014 ","21,983 ","22,314 ","23,468 ","25,289 ",－,－
　　技術工及機械設備操作工,"23,806 ","23,269 ","22,971 ","22,608 ","20,615 ","20,065 ","20,896 ","20,506 ","23,265 ","22,190 ","22,707 ","22,075 ","24,419 ","23,266 ","23,554 ","23,490 ","24,933 ","24,923 ","25,187 ","24,170 ","26,252 ","27,210 ",－,－
　　非技術工及體力工,"18,314 ","18,618 ","18,673 ","18,592 ","17,835 ","17,891 ","18,167 ","17,995 ","18,792 ","19,357 ","19,159 ","19,099 ",－,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,,,,,,,
各教育程度別無工作經驗者每月平均經常性薪資(女/男(%)),,,,,,,,,,,,,,,,,,,,,,,,
,總平均,,,,國中及以下,,,,高中或高職,,,,專科,,,,大學,,,,研究所及以上,,,
,92,93,94,95,92,93,94,95,92,93,94,95,92,93,94,95,92,93,94,95,92,93,94,95
住宿及餐飲業,97 ,98 ,99 ,99 ,97 ,98 ,99 ,98 ,97 ,98 ,98 ,98 ,98 ,99 ,99 ,99 ,98 ,99 ,99 ,99 ,98 ,99 ,99 ,100 
　　專業人員,99 ,99 ,99 ,99 ,－,－,－,－,－,－,－,－,99 ,99 ,99 ,98 ,99 ,99 ,99 ,98 ,99 ,99 ,100 ,100 
　　技術員及助理專業人員,98 ,99 ,99 ,99 ,－,－,－,－,98 ,99 ,98 ,100 ,98 ,99 ,99 ,98 ,98 ,99 ,100 ,99 ,98 ,99 ,99 ,100 
　　事務工作人員,98 ,99 ,99 ,100 ,99 ,98 ,99 ,99 ,98 ,98 ,98 ,100 ,99 ,98 ,98 ,100 ,99 ,99 ,99 ,100 ,98 ,99 ,99 ,100 
　　服務工作人員及售貨員,96 ,97 ,98 ,98 ,96 ,96 ,98 ,96 ,95 ,96 ,97 ,97 ,96 ,98 ,99 ,98 ,97 ,99 ,99 ,99 ,97 ,98 ,－,－
　　技術工及機械設備操作工,98 ,99 ,100 ,100 ,98 ,99 ,99 ,99 ,98 ,99 ,100 ,99 ,98 ,99 ,100 ,100 ,98 ,99 ,99 ,100 ,98 ,99 ,－,－
　　非技術工及體力工,97 ,99 ,99 ,99 ,98 ,99 ,99 ,99 ,97 ,99 ,99 ,99 ,－,－,－,－,－,－,－,－,－,－,－,－
金融、保險業,99 ,99 ,99 ,99 ,96 ,98 ,98 ,98 ,98 ,98 ,99 ,98 ,99 ,99 ,99 ,99 ,99 ,99 ,99 ,99 ,99 ,100 ,100 ,100 
　　專業人員,99 ,99 ,100 ,100 ,－,－,－,－,－,－,－,－,99 ,99 ,99 ,99 ,99 ,99 ,99 ,100 ,99 ,100 ,100 ,100 
　　技術員及助理專業人員,99 ,99 ,99 ,99 ,－,－,－,－,98 ,98 ,99 ,98 ,99 ,99 ,99 ,99 ,99 ,99 ,99 ,99 ,99 ,100 ,100 ,100 
　　事務工作人員,99 ,99 ,99 ,99 ,97 ,98 ,99 ,99 ,98 ,99 ,99 ,98 ,99 ,99 ,99 ,99 ,99 ,99 ,99 ,99 ,99 ,100 ,100 ,100 
