各教育程度別無工作經驗者每月平均經常性薪資(平均薪資)(單位：元),,,,,,,,,,,,,,,,,,
,總平均,,,國中及以下,,,高中或高職,,,專科,,,大學,,,研究所及以上,,
　　服務工作人員及售貨員,"19,845 ","20,119 ","20,422 ","18,867 ","18,570 ","18,816 ","19,574 ","19,356 ","20,155 ","20,193 ","20,732 ","20,475 ","20,988 ","21,885 ","22,064 ",－,－,－
　　技術工及機械設備操作工,"22,227 ","22,743 ","22,292 ","22,335 ","20,781 ","20,524 ","21,460 ","22,482 ","22,087 ","22,726 ","22,865 ","22,424 ","23,299 ","24,990 ","24,974 ",－,－,－
　　非技術工及體力工,"19,002 ","20,518 ","19,335 ","18,737 ","20,211 ","18,775 ","19,294 ","20,814 ","19,720 ",－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,
各教育程度別無工作經驗者每月平均經常性薪資(女/男(%)),,,,,,,,,,,,,,,,,,
,總平均,,,國中及以下,,,高中或高職,,,專科,,,大學,,,研究所及以上,,
,97,98,99,97,98,99,97,98,99,97,98,99,97,98,99,97,98,99
住宿及餐飲業,97 ,98 ,97 ,96 ,98 ,96 ,97 ,99 ,96 ,97 ,99 ,97 ,99 ,100 ,98 ,99 ,100 ,100 
　　專業人員,101 ,100 ,101 ,－,－,－,－,－,－,100 ,99 ,100 ,101 ,100 ,101 ,100 ,100 ,100 
　　技術員及助理專業人員,100 ,101 ,100 ,－,－,－,98 ,100 ,100 ,100 ,101 ,100 ,99 ,101 ,100 ,100 ,100 ,99 
　　事務工作人員,96 ,99 ,98 ,97 ,100 ,99 ,96 ,102 ,98 ,96 ,98 ,98 ,98 ,100 ,99 ,98 ,100 ,100 
　　服務工作人員及售貨員,98 ,98 ,97 ,98 ,98 ,94 ,98 ,99 ,97 ,98 ,99 ,98 ,99 ,99 ,98 ,－,－,－
　　技術工及機械設備操作工,94 ,102 ,95 ,94 ,103 ,98 ,94 ,102 ,93 ,96 ,101 ,95 ,90 ,103 ,98 ,－,－,－
　　非技術工及體力工,96 ,98 ,100 ,93 ,98 ,99 ,98 ,98 ,100 ,－,－,－,－,－,－,－,－,－
金融及保險業,99 ,100 ,99 ,98 ,98 ,100 ,98 ,99 ,99 ,99 ,100 ,99 ,99 ,99 ,99 ,100 ,100 ,100 
　　專業人員,100 ,100 ,100 ,－,－,－,－,－,－,100 ,100 ,100 ,100 ,100 ,99 ,101 ,100 ,100 
　　技術員及助理專業人員,100 ,100 ,100 ,－,－,－,100 ,100 ,101 ,100 ,100 ,100 ,99 ,100 ,100 ,99 ,100 ,100 
　　事務工作人員,99 ,99 ,99 ,100 ,100 ,100 ,98 ,99 ,100 ,99 ,100 ,99 ,99 ,99 ,99 ,99 ,100 ,100 
　　服務工作人員及售貨員,99 ,100 ,99 ,100 ,100 ,100 ,100 ,100 ,98 ,99 ,100 ,99 ,99 ,101 ,100 ,－,－,－
　　技術工及機械設備操作工,98 ,97 ,98 ,96 ,95 ,100 ,96 ,95 ,96 ,98 ,97 ,99 ,100 ,98 ,98 ,－,－,－
　　非技術工及體力工,98 ,100 ,99 ,98 ,100 ,100 ,98 ,99 ,99 ,－,－,－,－,－,－,－,－,－
醫療保健及社會工作服務業,96 ,97 ,97 ,99 ,98 ,98 ,96 ,97 ,97 ,95 ,97 ,97 ,96 ,98 ,98 ,99 ,100 ,100 
　　專業人員,94 ,97 ,97 ,－,－,－,－,－,－,94 ,96 ,95 ,93 ,98 ,99 ,99 ,100 ,99 
　　技術員及助理專業人員,95 ,96 ,96 ,－,－,－,95 ,95 ,95 ,94 ,96 ,96 ,96 ,96 ,97 ,100 ,99 ,100 
　　事務工作人員,96 ,97 ,97 ,100 ,99 ,98 ,94 ,97 ,97 ,96 ,97 ,98 ,97 ,98 ,98 ,101 ,100 ,100 
　　服務工作人員及售貨員,99 ,100 ,100 ,99 ,101 ,97 ,99 ,100 ,98 ,100 ,99 ,100 ,99 ,100 ,101 ,－,－,－
　　技術工及機械設備操作工,99 ,99 ,99 ,100 ,99 ,98 ,98 ,99 ,100 ,99 ,98 ,99 ,100 ,99 ,99 ,－,－,－
　　非技術工及體力工,98 ,97 ,98 ,97 ,97 ,99 ,98 ,98 ,97 ,－,－,－,－,－,－,－,－,－
藝術、娛樂及休閒服務業,97 ,97 ,98 ,96 ,98 ,98 ,97 ,97 ,97 ,98 ,98 ,97 ,98 ,98 ,98 ,98 ,99 ,100 
　　專業人員,101 ,100 ,100 ,－,－,－,－,－,－,102 ,100 ,99 ,102 ,99 ,100 ,100 ,99 ,100 
　　技術員及助理專業人員,98 ,99 ,99 ,－,－,－,96 ,98 ,100 ,97 ,98 ,98 ,99 ,100 ,99 ,96 ,101 ,101 
　　事務工作人員,98 ,97 ,98 ,99 ,98 ,99 ,99 ,97 ,98 ,98 ,98 ,98 ,97 ,98 ,98 ,100 ,97 ,99 
　　服務工作人員及售貨員,98 ,99 ,98 ,97 ,100 ,98 ,98 ,99 ,97 ,100 ,99 ,98 ,98 ,100 ,99 ,－,－,－
　　技術工及機械設備操作工,98 ,95 ,98 ,94 ,98 ,97 ,99 ,93 ,97 ,101 ,98 ,98 ,98 ,93 ,97 ,－,－,－
　　非技術工及體力工,96 ,93 ,99 ,95 ,94 ,100 ,97 ,93 ,98 ,－,－,－,－,－,－,－,－,－
